central_density,radius,mass
1.000000e+14,2.468047e+06,1.632507e+32
1.100000e+14,2.393200e+06,1.635487e+32
1.200000e+14,2.326844e+06,1.638139e+32
1.300000e+14,2.267421e+06,1.640518e+32
1.400000e+14,2.213751e+06,1.642667e+32
1.500000e+14,2.164923e+06,1.644620e+32
1.600000e+14,2.120217e+06,1.646403e+32
1.700000e+14,2.079060e+06,1.648040e+32
1.800000e+14,2.040985e+06,1.649548e+32
1.900000e+14,2.005607e+06,1.650943e+32
2.000000e+14,1.932763e+06,1.655441e+32
2.100000e+14,1.805403e+06,1.680794e+32
2.200000e+14,1.666980e+06,1.741332e+32
2.300000e+14,1.534364e+06,1.845152e+32
2.400000e+14,1.419548e+06,1.994476e+32
2.500000e+14,1.326691e+06,2.187969e+32
2.600000e+14,1.254022e+06,2.427087e+32
2.700000e+14,1.198851e+06,2.711622e+32
2.800000e+14,1.158096e+06,3.039366e+32
2.900000e+14,1.128705e+06,3.399804e+32
3.000000e+14,1.107945e+06,3.812177e+32
3.100000e+14,1.093925e+06,4.260135e+32
3.200000e+14,1.084952e+06,4.743602e+32
3.300000e+14,1.080741e+06,5.286157e+32
3.400000e+14,1.079090e+06,5.851823e+32
3.500000e+14,1.080578e+06,6.472067e+32
3.600000e+14,1.083724e+06,7.124715e+32
3.700000e+14,1.088980e+06,7.829057e+32
3.800000e+14,1.094179e+06,8.542644e+32
3.900000e+14,1.101707e+06,9.326014e+32
4.000000e+14,1.109102e+06,1.012580e+33
4.100000e+14,1.117471e+06,1.097116e+33
4.200000e+14,1.126189e+06,1.184929e+33
4.300000e+14,1.134760e+06,1.274897e+33
4.400000e+14,1.143824e+06,1.368708e+33
4.500000e+14,1.152548e+06,1.464216e+33
4.600000e+14,1.161891e+06,1.563963e+33
4.700000e+14,1.170749e+06,1.664903e+33
4.800000e+14,1.179716e+06,1.768575e+33
4.900000e+14,1.188126e+06,1.872942e+33
5.000000e+14,1.196259e+06,1.978618e+33
5.100000e+14,1.201305e+06,2.043857e+33
5.200000e+14,1.205045e+06,2.100191e+33
5.300000e+14,1.208846e+06,2.156302e+33
5.400000e+14,1.212187e+06,2.210369e+33
5.500000e+14,1.215560e+06,2.263714e+33
5.600000e+14,1.218260e+06,2.314763e+33
5.700000e+14,1.220748e+06,2.364036e+33
5.800000e+14,1.223094e+06,2.412942e+33
5.900000e+14,1.225264e+06,2.460720e+33
6.000000e+14,1.227233e+06,2.506837e+33
6.100000e+14,1.228626e+06,2.551003e+33
6.200000e+14,1.230301e+06,2.595406e+33
6.300000e+14,1.231604e+06,2.637990e+33
6.400000e+14,1.232498e+06,2.677955e+33
6.500000e+14,1.233656e+06,2.720559e+33
6.600000e+14,1.234269e+06,2.758281e+33
6.700000e+14,1.235125e+06,2.798191e+33
6.800000e+14,1.235613e+06,2.835706e+33
6.900000e+14,1.235750e+06,2.871031e+33
7.000000e+14,1.236140e+06,2.906379e+33
7.100000e+14,1.236217e+06,2.941912e+33
7.200000e+14,1.236222e+06,2.974976e+33
7.300000e+14,1.236185e+06,3.009707e+33
7.400000e+14,1.236273e+06,3.042870e+33
7.500000e+14,1.235766e+06,3.072011e+33
7.600000e+14,1.235255e+06,3.101377e+33
7.700000e+14,1.234900e+06,3.132896e+33
7.800000e+14,1.234352e+06,3.162091e+33
7.900000e+14,1.233740e+06,3.190615e+33
8.000000e+14,1.232937e+06,3.216863e+33
8.100000e+14,1.232241e+06,3.244485e+33
8.200000e+14,1.231369e+06,3.270010e+33
8.300000e+14,1.230656e+06,3.297377e+33
8.400000e+14,1.229781e+06,3.322829e+33
8.500000e+14,1.228388e+06,3.342244e+33
8.600000e+14,1.227254e+06,3.367046e+33
8.700000e+14,1.226286e+06,3.391187e+33
8.800000e+14,1.225179e+06,3.413646e+33
8.900000e+14,1.223933e+06,3.434430e+33
9.000000e+14,1.222401e+06,3.453064e+33
9.100000e+14,1.221743e+06,3.480055e+33
9.200000e+14,1.220318e+06,3.498461e+33
9.300000e+14,1.218489e+06,3.514445e+33
9.400000e+14,1.217520e+06,3.537412e+33
9.500000e+14,1.215831e+06,3.553517e+33
9.600000e+14,1.214660e+06,3.573923e+33
9.700000e+14,1.212617e+06,3.586891e+33
9.800000e+14,1.211509e+06,3.607497e+33
9.900000e+14,1.210191e+06,3.626610e+33
1.000000e+15,1.208596e+06,3.641640e+33
1.010000e+15,1.207499e+06,3.654492e+33
1.020000e+15,1.205834e+06,3.662586e+33
1.030000e+15,1.204226e+06,3.670157e+33
1.040000e+15,1.203262e+06,3.683184e+33
1.050000e+15,1.202129e+06,3.695022e+33
1.060000e+15,1.201075e+06,3.706640e+33
1.070000e+15,1.199237e+06,3.710876e+33
1.080000e+15,1.198085e+06,3.721112e+33
1.090000e+15,1.196772e+06,3.730153e+33
1.000000e+15,1.208596e+06,3.641640e+33
