radius,rest_mass_density,gravitational_mass,pressure,energy_density
1.000000e+02,3.989997e+15,1.960508e+24,2.986333e+36,6.620465e+36
1.030257e+02,3.989997e+15,1.963569e+24,2.986332e+36,6.620464e+36
1.224345e+02,3.989996e+15,1.994996e+24,2.986331e+36,6.620461e+36
1.347552e+02,3.989995e+15,2.017658e+24,2.986330e+36,6.620460e+36
1.457248e+02,3.989995e+15,2.040885e+24,2.986329e+36,6.620458e+36
1.553632e+02,3.989994e+15,2.063785e+24,2.986329e+36,6.620457e+36
1.640496e+02,3.989994e+15,2.086591e+24,2.986328e+36,6.620457e+36
1.719971e+02,3.989994e+15,2.109376e+24,2.986328e+36,6.620456e+36
1.793547e+02,3.989993e+15,2.132196e+24,2.986327e+36,6.620455e+36
1.862293e+02,3.989993e+15,2.155091e+24,2.986327e+36,6.620455e+36
1.927003e+02,3.989993e+15,2.178089e+24,2.986327e+36,6.620454e+36
1.988287e+02,3.989993e+15,2.201214e+24,2.986326e+36,6.620454e+36
2.046621e+02,3.989992e+15,2.224484e+24,2.986326e+36,6.620453e+36
2.102387e+02,3.989992e+15,2.247911e+24,2.986326e+36,6.620453e+36
2.155895e+02,3.989992e+15,2.271509e+24,2.986326e+36,6.620452e+36
2.207402e+02,3.989992e+15,2.295288e+24,2.986325e+36,6.620452e+36
2.257120e+02,3.989992e+15,2.319255e+24,2.986325e+36,6.620452e+36
2.305231e+02,3.989992e+15,2.343419e+24,2.986325e+36,6.620451e+36
2.351889e+02,3.989992e+15,2.367786e+24,2.986325e+36,6.620451e+36
2.397227e+02,3.989992e+15,2.392363e+24,2.986325e+36,6.620451e+36
2.441359e+02,3.989991e+15,2.417155e+24,2.986325e+36,6.620451e+36
2.484387e+02,3.989991e+15,2.442168e+24,2.986324e+36,6.620450e+36
2.526399e+02,3.989991e+15,2.467405e+24,2.986324e+36,6.620450e+36
2.567474e+02,3.989991e+15,2.492872e+24,2.986324e+36,6.620450e+36
2.607680e+02,3.989991e+15,2.518573e+24,2.986324e+36,6.620450e+36
2.647081e+02,3.989991e+15,2.544511e+24,2.986324e+36,6.620449e+36
