t,y[0],y[1]
2.477075e+06,1.000000e+14,1.648839e+32
2.438076e+06,1.050000e+14,1.650807e+32
2.402076e+06,1.100000e+14,1.652671e+32
2.367076e+06,1.150000e+14,1.654440e+32
2.335077e+06,1.200000e+14,1.656125e+32
2.304077e+06,1.250000e+14,1.657730e+32
2.275077e+06,1.300000e+14,1.659264e+32
2.247078e+06,1.350000e+14,1.660730e+32
2.221078e+06,1.400000e+14,1.662136e+32
2.196078e+06,1.450000e+14,1.663484e+32
2.172078e+06,1.500000e+14,1.664779e+32
2.128079e+06,1.550000e+14,1.667503e+32
2.075079e+06,1.600000e+14,1.672982e+32
2.019080e+06,1.650000e+14,1.681969e+32
1.961080e+06,1.700000e+14,1.695344e+32
1.903081e+06,1.750000e+14,1.713264e+32
1.845082e+06,1.800000e+14,1.736157e+32
1.788082e+06,1.850000e+14,1.764355e+32
1.733083e+06,1.900000e+14,1.797388e+32
1.681083e+06,1.950000e+14,1.835413e+32
1.632084e+06,2.000000e+14,1.878411e+32
1.587084e+06,2.050000e+14,1.925876e+32
1.544085e+06,2.100000e+14,1.977903e+32
1.504085e+06,2.150000e+14,2.035593e+32
1.468085e+06,2.200000e+14,2.095438e+32
1.434086e+06,2.250000e+14,2.159241e+32
1.403086e+06,2.300000e+14,2.227643e+32
1.375086e+06,2.350000e+14,2.300472e+32
1.349087e+06,2.400000e+14,2.376421e+32
1.326087e+06,2.450000e+14,2.453932e+32
1.304087e+06,2.500000e+14,2.536169e+32
1.285087e+06,2.550000e+14,2.620526e+32
1.267087e+06,2.600000e+14,2.707993e+32
1.250087e+06,2.650000e+14,2.798383e+32
1.235088e+06,2.700000e+14,2.891511e+32
1.221088e+06,2.750000e+14,2.987195e+32
1.209088e+06,2.800000e+14,3.085259e+32
1.197088e+06,2.850000e+14,3.185530e+32
1.186088e+06,2.900000e+14,3.287840e+32
1.177088e+06,2.950000e+14,3.393707e+32
1.168088e+06,3.000000e+14,3.501375e+32
1.160088e+06,3.050000e+14,3.610687e+32
1.152088e+06,3.100000e+14,3.725093e+32
1.146089e+06,3.150000e+14,3.839158e+32
1.139089e+06,3.200000e+14,3.952619e+32
1.133089e+06,3.250000e+14,4.070965e+32
1.128089e+06,3.300000e+14,4.190375e+32
1.123089e+06,3.350000e+14,4.314683e+32
1.119089e+06,3.400000e+14,4.437902e+32
1.115089e+06,3.450000e+14,4.559794e+32
1.111089e+06,3.500000e+14,4.688482e+32
1.108089e+06,3.550000e+14,4.817772e+32
1.104089e+06,3.600000e+14,4.947538e+32
1.102089e+06,3.650000e+14,5.082018e+32
1.099089e+06,3.700000e+14,5.214644e+32
1.097089e+06,3.750000e+14,5.349683e+32
1.094089e+06,3.800000e+14,5.487106e+32
1.092089e+06,3.850000e+14,5.622287e+32
1.091089e+06,3.900000e+14,5.764339e+32
1.089089e+06,3.950000e+14,5.906330e+32
1.088089e+06,4.000000e+14,6.048151e+32
1.086089e+06,4.050000e+14,6.189690e+32
1.085089e+06,4.100000e+14,6.338146e+32
1.084089e+06,4.150000e+14,6.483804e+32
1.083089e+06,4.200000e+14,6.631450e+32
1.082089e+06,4.250000e+14,6.781056e+32
1.081089e+06,4.300000e+14,6.927519e+32
1.081089e+06,4.350000e+14,7.080916e+32
1.080089e+06,4.400000e+14,7.233599e+32
1.080089e+06,4.450000e+14,7.385468e+32
1.079089e+06,4.500000e+14,7.541696e+32
