central_density,radius,mass
1.000000e+14,2.468047e+06,1.632507e+32
1.100000e+14,2.393200e+06,1.635487e+32
1.200000e+14,2.326844e+06,1.638139e+32
1.300000e+14,2.267421e+06,1.640518e+32
1.400000e+14,2.213751e+06,1.642667e+32
1.500000e+14,2.164923e+06,1.644620e+32
1.600000e+14,2.067879e+06,1.651617e+32
1.700000e+14,1.953320e+06,1.672665e+32
1.800000e+14,1.837242e+06,1.711623e+32
1.900000e+14,1.725793e+06,1.770587e+32
2.000000e+14,1.624459e+06,1.849180e+32
2.100000e+14,1.535799e+06,1.945678e+32
2.200000e+14,1.460007e+06,2.057978e+32
2.300000e+14,1.394971e+06,2.188661e+32
2.400000e+14,1.340534e+06,2.333420e+32
2.500000e+14,1.295482e+06,2.486524e+32
2.600000e+14,1.257292e+06,2.657283e+32
2.700000e+14,1.225593e+06,2.833704e+32
2.800000e+14,1.198939e+06,3.022778e+32
2.900000e+14,1.176602e+06,3.222895e+32
3.000000e+14,1.157555e+06,3.421588e+32
3.100000e+14,1.141897e+06,3.642804e+32
3.200000e+14,1.128300e+06,3.860795e+32
3.300000e+14,1.116913e+06,4.089517e+32
3.400000e+14,1.107459e+06,4.328406e+32
3.500000e+14,1.099392e+06,4.572049e+32
3.600000e+14,1.092468e+06,4.820133e+32
3.700000e+14,1.087082e+06,5.081410e+32
3.800000e+14,1.082174e+06,5.341536e+32
3.900000e+14,1.078206e+06,5.609397e+32
4.000000e+14,1.074458e+06,5.875696e+32
4.100000e+14,1.072018e+06,6.157584e+32
4.200000e+14,1.069327e+06,6.433006e+32
4.300000e+14,1.067770e+06,6.723088e+32
4.400000e+14,1.066126e+06,7.010508e+32
4.500000e+14,1.065190e+06,7.307467e+32
4.600000e+14,1.064080e+06,7.601338e+32
4.700000e+14,1.063573e+06,7.903965e+32
4.800000e+14,1.062838e+06,8.203234e+32
4.900000e+14,1.062879e+06,8.514376e+32
5.000000e+14,1.062886e+06,8.825422e+32
5.100000e+14,1.062519e+06,9.198245e+32
5.200000e+14,1.063104e+06,9.601226e+32
5.300000e+14,1.063720e+06,1.001151e+33
5.400000e+14,1.064374e+06,1.042861e+33
5.500000e+14,1.065483e+06,1.085970e+33
5.600000e+14,1.066389e+06,1.129401e+33
5.700000e+14,1.067704e+06,1.173971e+33
5.800000e+14,1.068997e+06,1.219136e+33
5.900000e+14,1.070447e+06,1.264957e+33
6.000000e+14,1.072038e+06,1.311640e+33
6.100000e+14,1.073755e+06,1.359161e+33
6.200000e+14,1.075381e+06,1.406694e+33
6.300000e+14,1.077282e+06,1.455430e+33
6.400000e+14,1.078872e+06,1.503325e+33
6.500000e+14,1.080705e+06,1.552361e+33
6.600000e+14,1.082311e+06,1.601675e+33
6.700000e+14,1.084105e+06,1.651556e+33
6.800000e+14,1.085720e+06,1.700788e+33
6.900000e+14,1.087691e+06,1.751460e+33
7.000000e+14,1.089349e+06,1.801416e+33
7.100000e+14,1.090749e+06,1.851091e+33
7.200000e+14,1.092409e+06,1.901365e+33
7.300000e+14,1.094044e+06,1.951626e+33
7.400000e+14,1.095519e+06,2.001534e+33
7.500000e+14,1.096912e+06,2.051757e+33
7.600000e+14,1.098491e+06,2.102160e+33
7.700000e+14,1.099567e+06,2.150666e+33
7.800000e+14,1.100980e+06,2.200789e+33
7.900000e+14,1.102202e+06,2.250143e+33
8.000000e+14,1.103225e+06,2.298617e+33
8.100000e+14,1.104345e+06,2.346700e+33
8.200000e+14,1.105383e+06,2.395526e+33
8.300000e+14,1.106307e+06,2.443464e+33
8.400000e+14,1.107104e+06,2.490391e+33
8.500000e+14,1.107894e+06,2.537325e+33
8.600000e+14,1.108513e+06,2.583929e+33
8.700000e+14,1.109164e+06,2.629672e+33
8.800000e+14,1.109898e+06,2.676484e+33
8.900000e+14,1.110231e+06,2.720505e+33
9.000000e+14,1.110825e+06,2.765937e+33
9.100000e+14,1.111157e+06,2.809696e+33
9.200000e+14,1.111219e+06,2.851671e+33
9.300000e+14,1.111767e+06,2.896372e+33
9.400000e+14,1.111774e+06,2.937612e+33
9.500000e+14,1.111826e+06,2.978606e+33
9.600000e+14,1.111776e+06,3.019026e+33
9.700000e+14,1.111869e+06,3.060310e+33
9.800000e+14,1.111757e+06,3.099804e+33
9.900000e+14,1.111614e+06,3.138808e+33
1.000000e+15,1.111277e+06,3.176077e+33
1.010000e+15,1.111164e+06,3.213603e+33
1.020000e+15,1.110650e+06,3.247622e+33
1.030000e+15,1.110302e+06,3.283275e+33
1.040000e+15,1.109888e+06,3.317442e+33
1.050000e+15,1.109536e+06,3.352082e+33
1.060000e+15,1.108792e+06,3.383755e+33
1.070000e+15,1.108227e+06,3.416094e+33
1.080000e+15,1.107541e+06,3.446906e+33
1.090000e+15,1.106866e+06,3.478031e+33
1.000000e+15,1.111277e+06,3.176077e+33
