rest_mass_density,kappa,gamma,energy_density,pressure
5.000000e+13,3.593886e+13,1.356924e+00,4.532737e+34,1.393236e+32
5.000000e+13,3.593886e+13,1.356924e+00,4.532737e+34,1.393236e+32
6.000000e+13,3.593886e+13,1.356924e+00,5.442434e+34,1.784299e+32
7.000000e+13,3.593886e+13,1.356924e+00,6.352805e+34,2.199426e+32
8.000000e+13,3.593886e+13,1.356924e+00,7.263786e+34,2.636332e+32
9.000000e+13,3.593886e+13,1.356924e+00,8.175327e+34,3.093215e+32
1.000000e+14,3.593886e+13,1.356924e+00,9.087387e+34,3.568614e+32
1.100000e+14,3.593886e+13,1.356924e+00,9.999931e+34,4.061311e+32
1.200000e+14,3.593886e+13,1.356924e+00,1.091293e+35,4.570276e+32
1.300000e+14,3.593886e+13,1.356924e+00,1.182636e+35,5.094622e+32
1.400000e+14,3.593886e+13,1.356924e+00,1.274020e+35,5.633576e+32
1.500000e+14,3.593886e+13,1.356924e+00,1.365443e+35,6.186457e+32
1.600000e+14,4.655861e-08,2.830000e+00,1.454009e+35,7.339383e+32
1.700000e+14,4.655861e-08,2.830000e+00,1.545384e+35,8.713055e+32
1.800000e+14,4.655861e-08,2.830000e+00,1.636845e+35,1.024286e+33
1.900000e+14,4.655861e-08,2.830000e+00,1.728396e+35,1.193638e+33
2.000000e+14,4.655861e-08,2.830000e+00,1.820039e+35,1.380114e+33
2.100000e+14,4.655861e-08,2.830000e+00,1.911781e+35,1.584458e+33
2.200000e+14,4.655861e-08,2.830000e+00,2.003624e+35,1.807408e+33
2.300000e+14,4.655861e-08,2.830000e+00,2.095573e+35,2.049698e+33
2.400000e+14,4.655861e-08,2.830000e+00,2.187632e+35,2.312053e+33
2.500000e+14,4.655861e-08,2.830000e+00,2.279804e+35,2.595196e+33
2.600000e+14,4.655861e-08,2.830000e+00,2.372093e+35,2.899844e+33
2.700000e+14,4.655861e-08,2.830000e+00,2.464504e+35,3.226706e+33
2.800000e+14,4.655861e-08,2.830000e+00,2.557041e+35,3.576492e+33
2.900000e+14,4.655861e-08,2.830000e+00,2.649706e+35,3.949902e+33
3.000000e+14,4.655861e-08,2.830000e+00,2.742504e+35,4.347636e+33
3.100000e+14,4.655861e-08,2.830000e+00,2.835439e+35,4.770387e+33
3.200000e+14,4.655861e-08,2.830000e+00,2.928515e+35,5.218845e+33
3.300000e+14,4.655861e-08,2.830000e+00,3.021735e+35,5.693698e+33
3.400000e+14,4.655861e-08,2.830000e+00,3.115102e+35,6.195628e+33
3.500000e+14,4.655861e-08,2.830000e+00,3.208622e+35,6.725314e+33
3.600000e+14,4.655861e-08,2.830000e+00,3.302296e+35,7.283432e+33
3.700000e+14,4.655861e-08,2.830000e+00,3.396130e+35,7.870655e+33
3.800000e+14,4.655861e-08,2.830000e+00,3.490127e+35,8.487652e+33
3.900000e+14,4.655861e-08,2.830000e+00,3.584289e+35,9.135090e+33
4.000000e+14,4.655861e-08,2.830000e+00,3.678622e+35,9.813632e+33
4.100000e+14,4.655861e-08,2.830000e+00,3.773128e+35,1.052394e+34
4.200000e+14,4.655861e-08,2.830000e+00,3.867812e+35,1.126667e+34
4.300000e+14,4.655861e-08,2.830000e+00,3.962676e+35,1.204247e+34
4.400000e+14,4.655861e-08,2.830000e+00,4.057725e+35,1.285201e+34
4.500000e+14,4.655861e-08,2.830000e+00,4.152961e+35,1.369593e+34
4.600000e+14,4.655861e-08,2.830000e+00,4.248389e+35,1.457487e+34
4.700000e+14,4.655861e-08,2.830000e+00,4.344012e+35,1.548948e+34
4.800000e+14,4.655861e-08,2.830000e+00,4.439833e+35,1.644041e+34
4.900000e+14,4.655861e-08,2.830000e+00,4.535856e+35,1.742830e+34
5.000000e+14,4.655861e-08,2.830000e+00,4.632085e+35,1.845377e+34
5.100000e+14,4.241310e-17,3.445000e+00,4.709954e+35,1.972783e+34
5.200000e+14,4.241310e-17,3.445000e+00,4.806306e+35,2.109267e+34
5.300000e+14,4.241310e-17,3.445000e+00,4.902927e+35,2.252321e+34
5.400000e+14,4.241310e-17,3.445000e+00,4.999824e+35,2.402130e+34
5.500000e+14,4.241310e-17,3.445000e+00,5.097005e+35,2.558877e+34
5.600000e+14,4.241310e-17,3.445000e+00,5.194477e+35,2.722750e+34
5.700000e+14,4.241310e-17,3.445000e+00,5.292249e+35,2.893936e+34
5.800000e+14,4.241310e-17,3.445000e+00,5.390327e+35,3.072624e+34
5.900000e+14,4.241310e-17,3.445000e+00,5.488720e+35,3.259006e+34
6.000000e+14,4.241310e-17,3.445000e+00,5.587435e+35,3.453274e+34
6.100000e+14,4.241310e-17,3.445000e+00,5.686481e+35,3.655622e+34
6.200000e+14,4.241310e-17,3.445000e+00,5.785866e+35,3.866245e+34
6.300000e+14,4.241310e-17,3.445000e+00,5.885596e+35,4.085340e+34
6.400000e+14,4.241310e-17,3.445000e+00,5.985682e+35,4.313105e+34
6.500000e+14,4.241310e-17,3.445000e+00,6.086130e+35,4.549739e+34
6.600000e+14,4.241310e-17,3.445000e+00,6.186949e+35,4.795444e+34
6.700000e+14,4.241310e-17,3.445000e+00,6.288148e+35,5.050422e+34
6.800000e+14,4.241310e-17,3.445000e+00,6.389734e+35,5.314877e+34
6.900000e+14,4.241310e-17,3.445000e+00,6.491716e+35,5.589013e+34
7.000000e+14,4.241310e-17,3.445000e+00,6.594103e+35,5.873037e+34
7.100000e+14,4.241310e-17,3.445000e+00,6.696902e+35,6.167157e+34
7.200000e+14,4.241310e-17,3.445000e+00,6.800123e+35,6.471582e+34
7.300000e+14,4.241310e-17,3.445000e+00,6.903774e+35,6.786522e+34
7.400000e+14,4.241310e-17,3.445000e+00,7.007863e+35,7.112189e+34
7.500000e+14,4.241310e-17,3.445000e+00,7.112400e+35,7.448796e+34
7.600000e+14,4.241310e-17,3.445000e+00,7.217394e+35,7.796556e+34
7.700000e+14,4.241310e-17,3.445000e+00,7.322852e+35,8.155687e+34
7.800000e+14,4.241310e-17,3.445000e+00,7.428784e+35,8.526404e+34
7.900000e+14,4.241310e-17,3.445000e+00,7.535199e+35,8.908926e+34
8.000000e+14,4.241310e-17,3.445000e+00,7.642106e+35,9.303471e+34
8.100000e+14,4.241310e-17,3.445000e+00,7.749514e+35,9.710261e+34
8.200000e+14,4.241310e-17,3.445000e+00,7.857431e+35,1.012952e+35
8.300000e+14,4.241310e-17,3.445000e+00,7.965868e+35,1.056146e+35
8.400000e+14,4.241310e-17,3.445000e+00,8.074832e+35,1.100632e+35
8.500000e+14,4.241310e-17,3.445000e+00,8.184334e+35,1.146432e+35
8.600000e+14,4.241310e-17,3.445000e+00,8.294383e+35,1.193568e+35
8.700000e+14,4.241310e-17,3.445000e+00,8.404987e+35,1.242064e+35
8.800000e+14,4.241310e-17,3.445000e+00,8.516157e+35,1.291941e+35
8.900000e+14,4.241310e-17,3.445000e+00,8.627902e+35,1.343224e+35
9.000000e+14,4.241310e-17,3.445000e+00,8.740230e+35,1.395936e+35
9.100000e+14,4.241310e-17,3.445000e+00,8.853153e+35,1.450099e+35
9.200000e+14,4.241310e-17,3.445000e+00,8.966679e+35,1.505737e+35
9.300000e+14,4.241310e-17,3.445000e+00,9.080817e+35,1.562873e+35
9.400000e+14,4.241310e-17,3.445000e+00,9.195579e+35,1.621532e+35
9.500000e+14,4.241310e-17,3.445000e+00,9.310972e+35,1.681736e+35
9.600000e+14,4.241310e-17,3.445000e+00,9.427007e+35,1.743510e+35
9.700000e+14,4.241310e-17,3.445000e+00,9.543694e+35,1.806877e+35
9.800000e+14,4.241310e-17,3.445000e+00,9.661043e+35,1.871862e+35
9.900000e+14,4.241310e-17,3.445000e+00,9.779063e+35,1.938489e+35
1.000000e+15,1.209205e-15,3.348000e+00,9.914468e+35,2.006781e+35
1.010000e+15,1.209205e-15,3.348000e+00,1.003402e+36,2.074760e+35
1.020000e+15,1.209205e-15,3.348000e+00,1.015425e+36,2.144339e+35
1.030000e+15,1.209205e-15,3.348000e+00,1.027517e+36,2.215537e+35
1.040000e+15,1.209205e-15,3.348000e+00,1.039679e+36,2.288377e+35
1.050000e+15,1.209205e-15,3.348000e+00,1.051912e+36,2.362881e+35
