r,rho,m
1.3365050000e-05,1.0000000000e+15,1.0000000000e+01
1.3366490000e-05,1.0000000000e+15,1.0032480000e+01
1.3367940000e-05,1.0000000000e+15,1.0065060000e+01
1.3369390000e-05,1.0000000000e+15,1.0097750000e+01
1.3370830000e-05,1.0000000000e+15,1.0130540000e+01
1.3372280000e-05,1.0000000000e+15,1.0163440000e+01
1.3373720000e-05,1.0000000000e+15,1.0196450000e+01
1.3375170000e-05,1.0000000000e+15,1.0229570000e+01
1.3376610000e-05,1.0000000000e+15,1.0262790000e+01
1.3378060000e-05,1.0000000000e+15,1.0296120000e+01
1.3379500000e-05,1.0000000000e+15,1.0329560000e+01
1.3380940000e-05,1.0000000000e+15,1.0363110000e+01
1.3382390000e-05,1.0000000000e+15,1.0396760000e+01
1.3383830000e-05,1.0000000000e+15,1.0430530000e+01
1.3385270000e-05,1.0000000000e+15,1.0464400000e+01
1.3386710000e-05,1.0000000000e+15,1.0498390000e+01
1.3388160000e-05,1.0000000000e+15,1.0532480000e+01
1.3389600000e-05,1.0000000000e+15,1.0566690000e+01
1.3391040000e-05,1.0000000000e+15,1.0601010000e+01
1.3392480000e-05,1.0000000000e+15,1.0635440000e+01
1.3393920000e-05,1.0000000000e+15,1.0669980000e+01
1.3395360000e-05,1.0000000000e+15,1.0704630000e+01
1.3396800000e-05,1.0000000000e+15,1.0739400000e+01
1.3398240000e-05,1.0000000000e+15,1.0774280000e+01
1.3399680000e-05,1.0000000000e+15,1.0809270000e+01
1.3401120000e-05,1.0000000000e+15,1.0844370000e+01
1.3402560000e-05,1.0000000000e+15,1.0879590000e+01
1.3404000000e-05,1.0000000000e+15,1.0914930000e+01
1.3405440000e-05,1.0000000000e+15,1.0950370000e+01
1.3406880000e-05,1.0000000000e+15,1.0985940000e+01
1.3408310000e-05,1.0000000000e+15,1.1021620000e+01
1.3409750000e-05,1.0000000000e+15,1.1057410000e+01
1.3411190000e-05,1.0000000000e+15,1.1093320000e+01
1.3412620000e-05,1.0000000000e+15,1.1129350000e+01
1.3414060000e-05,1.0000000000e+15,1.1165500000e+01
1.3415500000e-05,1.0000000000e+15,1.1201760000e+01
1.3416930000e-05,1.0000000000e+15,1.1238140000e+01
1.3418370000e-05,1.0000000000e+15,1.1274640000e+01
1.3419800000e-05,1.0000000000e+15,1.1311250000e+01
1.3421240000e-05,1.0000000000e+15,1.1347990000e+01
1.3422670000e-05,1.0000000000e+15,1.1384840000e+01
1.3424110000e-05,1.0000000000e+15,1.1421820000e+01
1.3425540000e-05,1.0000000000e+15,1.1458910000e+01
1.3426970000e-05,1.0000000000e+15,1.1496130000e+01
1.3428410000e-05,1.0000000000e+15,1.1533470000e+01
1.3429840000e-05,1.0000000000e+15,1.1570920000e+01
1.3431270000e-05,1.0000000000e+15,1.1608500000e+01
1.3432710000e-05,1.0000000000e+15,1.1646200000e+01
1.3434140000e-05,1.0000000000e+15,1.1684030000e+01
1.3435570000e-05,1.0000000000e+15,1.1721970000e+01
1.3437000000e-05,1.0000000000e+15,1.1760040000e+01
1.3438430000e-05,1.0000000000e+15,1.1798240000e+01
1.3439860000e-05,1.0000000000e+15,1.1836550000e+01
1.3441290000e-05,1.0000000000e+15,1.1874990000e+01
1.3442730000e-05,1.0000000000e+15,1.1913560000e+01
1.3444160000e-05,1.0000000000e+15,1.1952250000e+01
1.3445590000e-05,1.0000000000e+15,1.1991070000e+01
1.3447010000e-05,1.0000000000e+15,1.2030010000e+01
1.3448440000e-05,1.0000000000e+15,1.2069080000e+01
1.3449870000e-05,1.0000000000e+15,1.2108280000e+01
1.3451300000e-05,1.0000000000e+15,1.2147610000e+01
1.3452730000e-05,1.0000000000e+15,1.2187060000e+01
1.3454160000e-05,1.0000000000e+15,1.2226640000e+01
1.3455580000e-05,1.0000000000e+15,1.2266350000e+01
1.3457010000e-05,1.0000000000e+15,1.2306180000e+01
1.3458440000e-05,1.0000000000e+15,1.2346150000e+01
1.3459870000e-05,1.0000000000e+15,1.2386250000e+01
1.3461290000e-05,1.0000000000e+15,1.2426470000e+01
1.3462720000e-05,1.0000000000e+15,1.2466830000e+01
1.3464140000e-05,1.0000000000e+15,1.2507320000e+01
1.3465570000e-05,1.0000000000e+15,1.2547940000e+01
1.3466990000e-05,1.0000000000e+15,1.2588690000e+01
1.3468420000e-05,1.0000000000e+15,1.2629580000e+01
1.3469840000e-05,1.0000000000e+15,1.2670590000e+01
1.3471270000e-05,1.0000000000e+15,1.2711750000e+01
1.3472690000e-05,1.0000000000e+15,1.2753030000e+01
1.3474120000e-05,1.0000000000e+15,1.2794450000e+01
1.3475540000e-05,1.0000000000e+15,1.2836000000e+01
1.3476960000e-05,1.0000000000e+15,1.2877690000e+01
1.3478390000e-05,1.0000000000e+15,1.2919510000e+01
1.3479810000e-05,1.0000000000e+15,1.2961470000e+01
1.3481230000e-05,1.0000000000e+15,1.3003560000e+01
1.3482650000e-05,1.0000000000e+15,1.3045800000e+01
1.3484070000e-05,1.0000000000e+15,1.3088170000e+01
1.3485490000e-05,1.0000000000e+15,1.3130670000e+01
1.3486920000e-05,1.0000000000e+15,1.3173320000e+01
1.3488340000e-05,1.0000000000e+15,1.3216100000e+01
1.3489760000e-05,1.0000000000e+15,1.3259020000e+01
1.3491180000e-05,1.0000000000e+15,1.3302080000e+01
1.3492600000e-05,1.0000000000e+15,1.3345280000e+01
1.3494020000e-05,1.0000000000e+15,1.3388630000e+01
1.3495440000e-05,1.0000000000e+15,1.3432110000e+01
1.3496850000e-05,1.0000000000e+15,1.3475730000e+01
1.3498270000e-05,1.0000000000e+15,1.3519500000e+01
1.3499690000e-05,1.0000000000e+15,1.3563410000e+01
1.3501110000e-05,1.0000000000e+15,1.3607460000e+01
1.3502530000e-05,1.0000000000e+15,1.3651650000e+01
1.3503940000e-05,1.0000000000e+15,1.3695980000e+01
1.3505360000e-05,1.0000000000e+15,1.3740470000e+01
1.3506780000e-05,1.0000000000e+15,1.3785090000e+01
1.3508190000e-05,1.0000000000e+15,1.3829860000e+01
1.3509610000e-05,1.0000000000e+15,1.3874780000e+01
1.3511030000e-05,1.0000000000e+15,1.3919840000e+01
1.3512440000e-05,1.0000000000e+15,1.3965040000e+01
1.3513860000e-05,1.0000000000e+15,1.4010400000e+01
1.3515270000e-05,1.0000000000e+15,1.4055900000e+01
1.3516690000e-05,1.0000000000e+15,1.4101550000e+01
1.3518100000e-05,1.0000000000e+15,1.4147350000e+01
1.3519520000e-05,1.0000000000e+15,1.4193290000e+01
1.3520930000e-05,1.0000000000e+15,1.4239390000e+01
1.3522340000e-05,1.0000000000e+15,1.4285640000e+01
1.3523760000e-05,1.0000000000e+15,1.4332030000e+01
1.3525170000e-05,1.0000000000e+15,1.4378580000e+01
1.3526580000e-05,1.0000000000e+15,1.4425280000e+01
1.3527990000e-05,1.0000000000e+15,1.4472120000e+01
1.3529410000e-05,1.0000000000e+15,1.4519130000e+01
1.3530820000e-05,1.0000000000e+15,1.4566280000e+01
1.3532230000e-05,1.0000000000e+15,1.4613590000e+01
1.3533640000e-05,1.0000000000e+15,1.4661050000e+01
1.3535050000e-05,1.0000000000e+15,1.4708660000e+01
1.3536460000e-05,1.0000000000e+15,1.4756430000e+01
