t,y0,k1[0],k2[0],k3[0],k4[0],y1,k1[1],k2[1],k3[1],k4[1],P,H
1.000000e+02,1.000000e+15,-8.499998e+04,-2.208102e+05,-9.422272e+05,-8.064573e+05,4.188789e+21,1.256637e+20,4.523817e+21,4.523817e+21,1.520501e+22,2.006781e+35,3.513951e+09
1.099990e+03,9.999995e+14,-9.086652e+05,-1.138120e+06,-1.529425e+06,-1.706682e+06,5.575124e+24,1.520502e+22,3.216927e+22,3.216926e+22,5.541651e+22,2.006777e+35,3.194528e+08
2.099980e+03,9.999981e+14,-1.734726e+06,-2.023353e+06,-2.281309e+06,-2.547920e+06,3.879122e+25,5.541652e+22,8.494678e+22,8.494677e+22,1.207600e+23,2.006768e+35,1.673321e+08
3.099970e+03,9.999960e+14,-2.560789e+06,-2.880304e+06,-3.072113e+06,-3.379500e+06,1.247843e+26,1.207600e+23,1.628561e+23,1.628561e+23,2.112350e+23,2.006753e+35,1.133536e+08
4.099960e+03,9.999930e+14,-3.386858e+06,-3.725081e+06,-3.877629e+06,-4.208177e+06,2.886859e+26,2.112350e+23,2.658968e+23,2.658968e+23,3.268413e+23,2.006733e+35,8.570592e+07
5.099950e+03,9.999892e+14,-4.212932e+06,-4.563661e+06,-4.690256e+06,-5.035691e+06,5.556271e+26,3.268413e+23,3.940685e+23,3.940684e+23,4.675781e+23,2.006707e+35,6.890038e+07
6.099940e+03,9.999846e+14,-5.039015e+06,-5.398682e+06,-5.506858e+06,-5.862654e+06,9.507387e+26,4.675781e+23,5.473704e+23,5.473703e+23,6.334449e+23,2.006675e+35,5.760477e+07
7.099930e+03,9.999791e+14,-5.865108e+06,-6.231478e+06,-6.325908e+06,-6.689326e+06,1.499151e+27,6.334449e+23,7.258018e+23,7.258017e+23,8.244407e+23,2.006637e+35,4.949094e+07
8.099920e+03,9.999729e+14,-6.691211e+06,-7.062795e+06,-7.146576e+06,-7.515834e+06,2.225992e+27,8.244407e+23,9.293619e+23,9.293617e+23,1.040565e+24,2.006593e+35,4.338047e+07
9.099910e+03,9.999658e+14,-7.517327e+06,-7.893081e+06,-7.968371e+06,-8.342245e+06,3.156392e+27,1.040565e+24,1.158050e+24,1.158049e+24,1.281816e+24,2.006544e+35,3.861290e+07
1.009990e+04,9.999578e+14,-8.343458e+06,-8.722623e+06,-8.790984e+06,-9.168600e+06,4.315476e+27,1.281816e+24,1.411864e+24,1.411863e+24,1.548193e+24,2.006490e+35,3.478936e+07
1.109989e+04,9.999491e+14,-9.169604e+06,-9.551613e+06,-9.614213e+06,-9.994922e+06,5.728373e+27,1.548193e+24,1.690803e+24,1.690803e+24,1.839694e+24,2.006429e+35,3.165469e+07
1.209988e+04,9.999395e+14,-9.995767e+06,-1.038018e+07,-1.043792e+07,-1.082123e+07,7.420205e+27,1.839694e+24,1.994866e+24,1.994866e+24,2.156319e+24,2.006363e+35,2.903811e+07
1.309987e+04,9.999291e+14,-1.082195e+07,-1.120843e+07,-1.126200e+07,-1.164753e+07,9.416098e+27,2.156319e+24,2.324052e+24,2.324051e+24,2.498065e+24,2.006291e+35,2.682097e+07
1.409986e+04,9.999178e+14,-1.164815e+07,-1.203642e+07,-1.208639e+07,-1.247383e+07,1.174117e+28,2.498065e+24,2.678358e+24,2.678358e+24,2.864931e+24,2.006213e+35,2.491828e+07
1.509985e+04,9.999058e+14,-1.247438e+07,-1.286422e+07,-1.291103e+07,-1.330015e+07,1.442055e+28,2.864931e+24,3.057783e+24,3.057783e+24,3.256915e+24,2.006130e+35,2.326757e+07
1.609984e+04,9.998929e+14,-1.330063e+07,-1.369185e+07,-1.373589e+07,-1.412648e+07,1.747935e+28,3.256915e+24,3.462326e+24,3.462325e+24,3.674015e+24,2.006041e+35,2.182188e+07
1.709983e+04,9.998792e+14,-1.412690e+07,-1.451936e+07,-1.456094e+07,-1.495282e+07,2.094269e+28,3.674015e+24,3.891983e+24,3.891982e+24,4.116229e+24,2.005946e+35,2.054525e+07
1.809982e+04,9.998646e+14,-1.495320e+07,-1.534676e+07,-1.538614e+07,-1.577919e+07,2.483568e+28,4.116229e+24,4.346753e+24,4.346752e+24,4.583554e+24,2.005845e+35,1.940966e+07
1.909981e+04,9.998493e+14,-1.577953e+07,-1.617409e+07,-1.621148e+07,-1.660558e+07,2.918343e+28,4.583555e+24,4.826634e+24,4.826633e+24,5.075990e+24,2.005739e+35,1.839294e+07
2.009980e+04,9.998331e+14,-1.660589e+07,-1.700135e+07,-1.703695e+07,-1.743200e+07,3.401106e+28,5.075990e+24,5.331623e+24,5.331622e+24,5.593532e+24,2.005627e+35,1.747737e+07
2.109979e+04,9.998161e+14,-1.743228e+07,-1.782856e+07,-1.786254e+07,-1.825845e+07,3.934368e+28,5.593532e+24,5.861718e+24,5.861717e+24,6.136179e+24,2.005510e+35,1.664856e+07
