r,rho,m,P,H
1.0000000000e+02,2.0000000000e+15,4.2132052971e-12,2.0433770000e+36,1.9388860000e+09
1.0999900000e+03,1.9999980000e+15,5.6076215293e-09,2.0433700000e+36,1.7626400000e+08
2.0999800000e+03,1.9999930000e+15,3.9017297763e-08,2.0433530000e+36,9.2328780000e+07
3.0999700000e+03,1.9999850000e+15,1.2551139666e-07,2.0433260000e+36,6.2545320000e+07
4.0999600000e+03,1.9999740000e+15,2.9036754872e-07,2.0432880000e+36,4.7290370000e+07
5.0999500000e+03,1.9999600000e+15,5.5886264516e-07,2.0432390000e+36,3.8017750000e+07
6.0999400000e+03,1.9999430000e+15,9.5627266190e-07,2.0431800000e+36,3.1785340000e+07
7.0999300000e+03,1.9999220000e+15,1.5078727199e-06,2.0431110000e+36,2.7308530000e+07
8.0999200000e+03,1.9998990000e+15,2.2389357776e-06,2.0430310000e+36,2.3937110000e+07
9.0999100000e+03,1.9998720000e+15,3.1747332846e-06,2.0429400000e+36,2.1306660000e+07
1.0099900000e+04,1.9998430000e+15,4.3405356849e-06,2.0428390000e+36,1.9197100000e+07
1.1099890000e+04,1.9998100000e+15,5.7616088960e-06,2.0427270000e+36,1.7467630000e+07
1.2099880000e+04,1.9997740000e+15,7.4632248706e-06,2.0426050000e+36,1.6024030000e+07
1.3099870000e+04,1.9997360000e+15,9.4706329301e-06,2.0424720000e+36,1.4800820000e+07
1.4099860000e+04,1.9996940000e+15,1.1809109553e-05,2.0423290000e+36,1.3751120000e+07
1.5099850000e+04,1.9996490000e+15,1.4503896015e-05,2.0421750000e+36,1.2840450000e+07
1.6099840000e+04,1.9996010000e+15,1.7580258736e-05,2.0420110000e+36,1.2042910000e+07
1.7099830000e+04,1.9995500000e+15,2.1063438991e-05,2.0418360000e+36,1.1338650000e+07
1.8099820000e+04,1.9994950000e+15,2.4978688113e-05,2.0416510000e+36,1.0712210000e+07
1.9099810000e+04,1.9994380000e+15,2.9351242347e-05,2.0414550000e+36,1.0151370000e+07
2.0099800000e+04,1.9993780000e+15,3.4206347998e-05,2.0412490000e+36,9.6463250000e+06
2.1099790000e+04,1.9993140000e+15,3.9569231253e-05,2.0410320000e+36,9.1891560000e+06
2.2099780000e+04,1.9992480000e+15,4.5465128358e-05,2.0408040000e+36,8.7733600000e+06
2.3099770000e+04,1.9991780000e+15,5.1919275558e-05,2.0405670000e+36,8.3935630000e+06
2.4099760000e+04,1.9991050000e+15,5.8956858808e-05,2.0403180000e+36,8.0452850000e+06
2.5099750000e+04,1.9990300000e+15,6.6603069091e-05,2.0400590000e+36,7.7247590000e+06
2.6099740000e+04,1.9989510000e+15,7.4883203003e-05,2.0397900000e+36,7.4287940000e+06
2.7099730000e+04,1.9988690000e+15,8.3822406263e-05,2.0395100000e+36,7.1546710000e+06
2.8099720000e+04,1.9987840000e+15,9.3445874886e-05,2.0392200000e+36,6.9000590000e+06
