radius,rest_mass_density,gravitational_mass,pressure,energy_density
1.000000e+02,3.989996e+15,3.658050e+24,2.063269e+37,1.240220e+37
1.030137e+02,3.989996e+15,3.663760e+24,2.063269e+37,1.240220e+37
1.223520e+02,3.989995e+15,3.722314e+24,2.063268e+37,1.240219e+37
1.346455e+02,3.989995e+15,3.764599e+24,2.063267e+37,1.240219e+37
1.455904e+02,3.989995e+15,3.807929e+24,2.063267e+37,1.240219e+37
1.552090e+02,3.989995e+15,3.850651e+24,2.063266e+37,1.240219e+37
1.638784e+02,3.989994e+15,3.893199e+24,2.063266e+37,1.240218e+37
1.718110e+02,3.989994e+15,3.935709e+24,2.063265e+37,1.240218e+37
1.791553e+02,3.989994e+15,3.978285e+24,2.063265e+37,1.240218e+37
1.860178e+02,3.989994e+15,4.021001e+24,2.063265e+37,1.240218e+37
1.924777e+02,3.989994e+15,4.063910e+24,2.063265e+37,1.240218e+37
1.985958e+02,3.989993e+15,4.107056e+24,2.063264e+37,1.240218e+37
2.044196e+02,3.989993e+15,4.150471e+24,2.063264e+37,1.240218e+37
2.099872e+02,3.989993e+15,4.194182e+24,2.063264e+37,1.240218e+37
2.153294e+02,3.989993e+15,4.238211e+24,2.063264e+37,1.240217e+37
2.204719e+02,3.989993e+15,4.282576e+24,2.063264e+37,1.240217e+37
2.254359e+02,3.989993e+15,4.327294e+24,2.063263e+37,1.240217e+37
2.302396e+02,3.989993e+15,4.372379e+24,2.063263e+37,1.240217e+37
2.348982e+02,3.989993e+15,4.417843e+24,2.063263e+37,1.240217e+37
2.394250e+02,3.989993e+15,4.463699e+24,2.063263e+37,1.240217e+37
2.438315e+02,3.989992e+15,4.509955e+24,2.063263e+37,1.240217e+37
2.481278e+02,3.989992e+15,4.556623e+24,2.063263e+37,1.240217e+37
2.523227e+02,3.989992e+15,4.603711e+24,2.063262e+37,1.240217e+37
2.564240e+02,3.989992e+15,4.651227e+24,2.063262e+37,1.240217e+37
2.604387e+02,3.989992e+15,4.699179e+24,2.063262e+37,1.240217e+37
2.643729e+02,3.989992e+15,4.747576e+24,2.063262e+37,1.240217e+37
2.682323e+02,3.989992e+15,4.796424e+24,2.063262e+37,1.240217e+37
2.720219e+02,3.989992e+15,4.845730e+24,2.063262e+37,1.240216e+37
2.757461e+02,3.989992e+15,4.895503e+24,2.063262e+37,1.240216e+37
2.794093e+02,3.989992e+15,4.945747e+24,2.063261e+37,1.240216e+37
2.830150e+02,3.989992e+15,4.996471e+24,2.063261e+37,1.240216e+37
2.865668e+02,3.989992e+15,5.047680e+24,2.063261e+37,1.240216e+37
2.900679e+02,3.989992e+15,5.099381e+24,2.063261e+37,1.240216e+37
2.935210e+02,3.989991e+15,5.151580e+24,2.063261e+37,1.240216e+37
2.969289e+02,3.989991e+15,5.204284e+24,2.063261e+37,1.240216e+37
3.002941e+02,3.989991e+15,5.257499e+24,2.063261e+37,1.240216e+37
3.036188e+02,3.989991e+15,5.311231e+24,2.063261e+37,1.240216e+37
3.069052e+02,3.989991e+15,5.365486e+24,2.063260e+37,1.240216e+37
3.101552e+02,3.989991e+15,5.420270e+24,2.063260e+37,1.240216e+37
3.133707e+02,3.989991e+15,5.475591e+24,2.063260e+37,1.240216e+37
3.165534e+02,3.989991e+15,5.531453e+24,2.063260e+37,1.240216e+37
3.197049e+02,3.989991e+15,5.587863e+24,2.063260e+37,1.240216e+37
3.228266e+02,3.989991e+15,5.644828e+24,2.063260e+37,1.240216e+37
3.259201e+02,3.989991e+15,5.702353e+24,2.063260e+37,1.240216e+37
3.289866e+02,3.989991e+15,5.760445e+24,2.063260e+37,1.240216e+37
3.320274e+02,3.989991e+15,5.819110e+24,2.063260e+37,1.240215e+37
3.350436e+02,3.989991e+15,5.878353e+24,2.063259e+37,1.240215e+37
3.380364e+02,3.989991e+15,5.938183e+24,2.063259e+37,1.240215e+37
3.410068e+02,3.989990e+15,5.998604e+24,2.063259e+37,1.240215e+37
3.439558e+02,3.989990e+15,6.059624e+24,2.063259e+37,1.240215e+37
3.468843e+02,3.989990e+15,6.121249e+24,2.063259e+37,1.240215e+37
3.497933e+02,3.989990e+15,6.183484e+24,2.063259e+37,1.240215e+37
3.526835e+02,3.989990e+15,6.246337e+24,2.063259e+37,1.240215e+37
3.555558e+02,3.989990e+15,6.309815e+24,2.063259e+37,1.240215e+37
3.584109e+02,3.989990e+15,6.373923e+24,2.063259e+37,1.240215e+37
3.612496e+02,3.989990e+15,6.438669e+24,2.063258e+37,1.240215e+37
3.640725e+02,3.989990e+15,6.504059e+24,2.063258e+37,1.240215e+37
3.668804e+02,3.989990e+15,6.570100e+24,2.063258e+37,1.240215e+37
3.696738e+02,3.989990e+15,6.636799e+24,2.063258e+37,1.240215e+37
3.724533e+02,3.989990e+15,6.704163e+24,2.063258e+37,1.240215e+37
3.752196e+02,3.989990e+15,6.772198e+24,2.063258e+37,1.240215e+37
3.779731e+02,3.989990e+15,6.840911e+24,2.063258e+37,1.240215e+37
3.807144e+02,3.989990e+15,6.910311e+24,2.063258e+37,1.240215e+37
3.834440e+02,3.989990e+15,6.980402e+24,2.063258e+37,1.240215e+37
3.861624e+02,3.989990e+15,7.051194e+24,2.063257e+37,1.240215e+37
3.888701e+02,3.989989e+15,7.122693e+24,2.063257e+37,1.240214e+37
