central_density,radius,mass
1.000000e+14,2.308129e+06,1.660696e+32
1.100000e+14,2.068114e+06,1.749257e+32
1.200000e+14,1.861698e+06,1.901212e+32
1.300000e+14,1.702436e+06,2.110038e+32
1.400000e+14,1.584927e+06,2.369102e+32
1.500000e+14,1.499792e+06,2.671121e+32
1.600000e+14,1.438272e+06,3.014618e+32
1.700000e+14,1.394002e+06,3.392604e+32
1.800000e+14,1.362110e+06,3.802185e+32
1.900000e+14,1.339339e+06,4.242852e+32
2.000000e+14,1.322500e+06,4.701166e+32
2.100000e+14,1.311603e+06,5.199767e+32
2.200000e+14,1.303550e+06,5.711099e+32
2.300000e+14,1.298506e+06,6.247907e+32
2.400000e+14,1.295754e+06,6.807900e+32
2.500000e+14,1.294391e+06,7.384538e+32
2.600000e+14,1.294705e+06,7.985049e+32
2.700000e+14,1.295341e+06,8.594258e+32
2.800000e+14,1.297058e+06,9.223699e+32
2.900000e+14,1.299610e+06,9.871322e+32
3.000000e+14,1.301935e+06,1.052332e+33
3.100000e+14,1.304807e+06,1.119041e+33
3.200000e+14,1.308080e+06,1.187070e+33
3.300000e+14,1.310893e+06,1.255163e+33
3.400000e+14,1.314207e+06,1.324660e+33
3.500000e+14,1.317449e+06,1.394683e+33
3.600000e+14,1.320580e+06,1.465108e+33
3.700000e+14,1.323571e+06,1.535818e+33
3.800000e+14,1.326813e+06,1.607344e+33
3.900000e+14,1.329640e+06,1.678581e+33
4.000000e+14,1.332453e+06,1.750074e+33
4.100000e+14,1.335215e+06,1.821688e+33
4.200000e+14,1.337555e+06,1.892744e+33
4.300000e+14,1.339999e+06,1.964018e+33
4.400000e+14,1.342019e+06,2.034565e+33
4.500000e+14,1.344112e+06,2.105131e+33
4.600000e+14,1.345940e+06,2.175084e+33
4.700000e+14,1.347659e+06,2.244614e+33
4.800000e+14,1.349119e+06,2.313396e+33
4.900000e+14,1.350323e+06,2.381370e+33
5.000000e+14,1.351686e+06,2.449193e+33
5.100000e+14,1.352199e+06,2.498880e+33
5.200000e+14,1.352561e+06,2.545049e+33
5.300000e+14,1.352764e+06,2.589881e+33
5.400000e+14,1.352823e+06,2.633359e+33
5.500000e+14,1.352745e+06,2.675628e+33
5.600000e+14,1.352425e+06,2.716737e+33
5.700000e+14,1.352098e+06,2.756658e+33
5.800000e+14,1.351426e+06,2.794886e+33
5.900000e+14,1.350782e+06,2.832970e+33
6.000000e+14,1.349914e+06,2.869195e+33
6.100000e+14,1.349049e+06,2.904313e+33
6.200000e+14,1.348014e+06,2.938961e+33
6.300000e+14,1.347003e+06,2.972872e+33
6.400000e+14,1.345797e+06,3.005323e+33
6.500000e+14,1.344411e+06,3.036536e+33
6.600000e+14,1.343157e+06,3.067283e+33
6.700000e+14,1.341676e+06,3.097540e+33
6.800000e+14,1.340216e+06,3.126805e+33
6.900000e+14,1.338616e+06,3.155328e+33
7.000000e+14,1.337146e+06,3.183303e+33
7.100000e+14,1.335383e+06,3.209121e+33
7.200000e+14,1.333573e+06,3.234217e+33
7.300000e+14,1.331794e+06,3.259917e+33
7.400000e+14,1.330011e+06,3.284196e+33
7.500000e+14,1.328203e+06,3.309314e+33
7.600000e+14,1.326236e+06,3.331710e+33
7.700000e+14,1.324268e+06,3.354004e+33
7.800000e+14,1.322313e+06,3.376348e+33
7.900000e+14,1.320285e+06,3.397400e+33
8.000000e+14,1.318287e+06,3.418701e+33
8.100000e+14,1.316114e+06,3.437225e+33
8.200000e+14,1.314093e+06,3.457738e+33
8.300000e+14,1.312015e+06,3.477164e+33
8.400000e+14,1.309803e+06,3.495386e+33
8.500000e+14,1.307739e+06,3.514444e+33
8.600000e+14,1.305491e+06,3.530712e+33
8.700000e+14,1.303324e+06,3.547792e+33
8.800000e+14,1.301106e+06,3.563920e+33
8.900000e+14,1.298848e+06,3.580814e+33
9.000000e+14,1.296537e+06,3.595113e+33
9.100000e+14,1.294499e+06,3.612566e+33
9.200000e+14,1.292111e+06,3.626032e+33
9.300000e+14,1.289748e+06,3.638775e+33
9.400000e+14,1.287606e+06,3.653905e+33
9.500000e+14,1.285116e+06,3.665898e+33
9.600000e+14,1.282910e+06,3.679574e+33
9.700000e+14,1.280607e+06,3.692445e+33
