radius,rest_mass_density,gravitational_mass,pressure,energy_density
1.000000e+02,3.989997e+15,2.153263e+24,4.278438e+36,7.276980e+36
1.030234e+02,3.989997e+15,2.156625e+24,4.278438e+36,7.276980e+36
1.224185e+02,3.989996e+15,2.191132e+24,4.278436e+36,7.276977e+36
1.347340e+02,3.989996e+15,2.216022e+24,4.278434e+36,7.276975e+36
1.456988e+02,3.989995e+15,2.241532e+24,4.278433e+36,7.276974e+36
1.553334e+02,3.989995e+15,2.266683e+24,4.278433e+36,7.276973e+36
1.640165e+02,3.989995e+15,2.291731e+24,4.278432e+36,7.276972e+36
1.719611e+02,3.989994e+15,2.316755e+24,4.278431e+36,7.276971e+36
1.793161e+02,3.989994e+15,2.341819e+24,4.278431e+36,7.276971e+36
1.861884e+02,3.989994e+15,2.366964e+24,4.278430e+36,7.276970e+36
1.926572e+02,3.989994e+15,2.392224e+24,4.278430e+36,7.276970e+36
1.987836e+02,3.989994e+15,2.417622e+24,4.278430e+36,7.276969e+36
2.046152e+02,3.989993e+15,2.443179e+24,4.278429e+36,7.276969e+36
2.101901e+02,3.989993e+15,2.468910e+24,4.278429e+36,7.276968e+36
2.155392e+02,3.989993e+15,2.494828e+24,4.278429e+36,7.276968e+36
2.206883e+02,3.989993e+15,2.520944e+24,4.278428e+36,7.276968e+36
2.256586e+02,3.989993e+15,2.547267e+24,4.278428e+36,7.276967e+36
2.304683e+02,3.989993e+15,2.573807e+24,4.278428e+36,7.276967e+36
2.351327e+02,3.989993e+15,2.600570e+24,4.278428e+36,7.276967e+36
2.396651e+02,3.989993e+15,2.627563e+24,4.278427e+36,7.276966e+36
2.440771e+02,3.989992e+15,2.654792e+24,4.278427e+36,7.276966e+36
2.483786e+02,3.989992e+15,2.682264e+24,4.278427e+36,7.276966e+36
2.525786e+02,3.989992e+15,2.709982e+24,4.278427e+36,7.276966e+36
2.566848e+02,3.989992e+15,2.737952e+24,4.278426e+36,7.276965e+36
2.607043e+02,3.989992e+15,2.766180e+24,4.278426e+36,7.276965e+36
2.646433e+02,3.989992e+15,2.794669e+24,4.278426e+36,7.276965e+36
2.685072e+02,3.989992e+15,2.823423e+24,4.278426e+36,7.276965e+36
2.723013e+02,3.989992e+15,2.852448e+24,4.278426e+36,7.276964e+36
2.760300e+02,3.989992e+15,2.881747e+24,4.278426e+36,7.276964e+36
2.796974e+02,3.989992e+15,2.911323e+24,4.278425e+36,7.276964e+36
2.833074e+02,3.989992e+15,2.941182e+24,4.278425e+36,7.276964e+36
2.868634e+02,3.989992e+15,2.971326e+24,4.278425e+36,7.276964e+36
2.903685e+02,3.989992e+15,3.001760e+24,4.278425e+36,7.276963e+36
2.938257e+02,3.989991e+15,3.032487e+24,4.278425e+36,7.276963e+36
2.972375e+02,3.989991e+15,3.063512e+24,4.278425e+36,7.276963e+36
3.006066e+02,3.989991e+15,3.094837e+24,4.278424e+36,7.276963e+36
3.039352e+02,3.989991e+15,3.126466e+24,4.278424e+36,7.276963e+36
3.072254e+02,3.989991e+15,3.158404e+24,4.278424e+36,7.276962e+36
3.104791e+02,3.989991e+15,3.190653e+24,4.278424e+36,7.276962e+36
3.136983e+02,3.989991e+15,3.223218e+24,4.278424e+36,7.276962e+36
3.168846e+02,3.989991e+15,3.256101e+24,4.278424e+36,7.276962e+36
3.200397e+02,3.989991e+15,3.289307e+24,4.278424e+36,7.276962e+36
3.231650e+02,3.989991e+15,3.322840e+24,4.278423e+36,7.276962e+36
3.262620e+02,3.989991e+15,3.356702e+24,4.278423e+36,7.276961e+36
3.293320e+02,3.989991e+15,3.390898e+24,4.278423e+36,7.276961e+36
3.323763e+02,3.989991e+15,3.425431e+24,4.278423e+36,7.276961e+36
3.353959e+02,3.989991e+15,3.460305e+24,4.278423e+36,7.276961e+36
3.383921e+02,3.989991e+15,3.495524e+24,4.278423e+36,7.276961e+36
3.413659e+02,3.989991e+15,3.531091e+24,4.278423e+36,7.276961e+36
3.443182e+02,3.989991e+15,3.567011e+24,4.278423e+36,7.276960e+36
3.472501e+02,3.989990e+15,3.603286e+24,4.278422e+36,7.276960e+36
3.501623e+02,3.989990e+15,3.639921e+24,4.278422e+36,7.276960e+36
3.530558e+02,3.989990e+15,3.676920e+24,4.278422e+36,7.276960e+36
3.559313e+02,3.989990e+15,3.714286e+24,4.278422e+36,7.276960e+36
3.587897e+02,3.989990e+15,3.752024e+24,4.278422e+36,7.276960e+36
3.616315e+02,3.989990e+15,3.790137e+24,4.278422e+36,7.276959e+36
3.644576e+02,3.989990e+15,3.828629e+24,4.278422e+36,7.276959e+36
3.672686e+02,3.989990e+15,3.867504e+24,4.278422e+36,7.276959e+36
3.700652e+02,3.989990e+15,3.906766e+24,4.278421e+36,7.276959e+36
3.728478e+02,3.989990e+15,3.946420e+24,4.278421e+36,7.276959e+36
3.756171e+02,3.989990e+15,3.986469e+24,4.278421e+36,7.276959e+36
3.783737e+02,3.989990e+15,4.026917e+24,4.278421e+36,7.276959e+36
3.811181e+02,3.989990e+15,4.067769e+24,4.278421e+36,7.276958e+36
3.838508e+02,3.989990e+15,4.109029e+24,4.278421e+36,7.276958e+36
3.865723e+02,3.989990e+15,4.150701e+24,4.278421e+36,7.276958e+36
3.892830e+02,3.989990e+15,4.192789e+24,4.278421e+36,7.276958e+36
3.919833e+02,3.989990e+15,4.235297e+24,4.278420e+36,7.276958e+36
3.946739e+02,3.989990e+15,4.278231e+24,4.278420e+36,7.276958e+36
3.973549e+02,3.989990e+15,4.321593e+24,4.278420e+36,7.276958e+36
4.000269e+02,3.989989e+15,4.365389e+24,4.278420e+36,7.276957e+36
4.026902e+02,3.989989e+15,4.409623e+24,4.278420e+36,7.276957e+36
4.053452e+02,3.989989e+15,4.454300e+24,4.278420e+36,7.276957e+36
4.079923e+02,3.989989e+15,4.499424e+24,4.278420e+36,7.276957e+36
4.106317e+02,3.989989e+15,4.545000e+24,4.278420e+36,7.276957e+36
4.132639e+02,3.989989e+15,4.591032e+24,4.278420e+36,7.276957e+36
4.158891e+02,3.989989e+15,4.637524e+24,4.278419e+36,7.276957e+36
4.185077e+02,3.989989e+15,4.684483e+24,4.278419e+36,7.276956e+36
4.211200e+02,3.989989e+15,4.731912e+24,4.278419e+36,7.276956e+36
4.237262e+02,3.989989e+15,4.779816e+24,4.278419e+36,7.276956e+36
4.263266e+02,3.989989e+15,4.828200e+24,4.278419e+36,7.276956e+36
4.289215e+02,3.989989e+15,4.877069e+24,4.278419e+36,7.276956e+36
4.315113e+02,3.989989e+15,4.926428e+24,4.278419e+36,7.276956e+36
4.340960e+02,3.989989e+15,4.976282e+24,4.278419e+36,7.276955e+36
4.366761e+02,3.989989e+15,5.026636e+24,4.278419e+36,7.276955e+36
4.392516e+02,3.989989e+15,5.077495e+24,4.278418e+36,7.276955e+36
4.418229e+02,3.989989e+15,5.128863e+24,4.278418e+36,7.276955e+36
4.443902e+02,3.989989e+15,5.180748e+24,4.278418e+36,7.276955e+36
4.469537e+02,3.989989e+15,5.233152e+24,4.278418e+36,7.276955e+36
4.495136e+02,3.989989e+15,5.286083e+24,4.278418e+36,7.276955e+36
4.520701e+02,3.989988e+15,5.339545e+24,4.278418e+36,7.276954e+36
4.546235e+02,3.989988e+15,5.393543e+24,4.278418e+36,7.276954e+36
4.571739e+02,3.989988e+15,5.448083e+24,4.278418e+36,7.276954e+36
4.597215e+02,3.989988e+15,5.503171e+24,4.278417e+36,7.276954e+36
4.622666e+02,3.989988e+15,5.558811e+24,4.278417e+36,7.276954e+36
4.648092e+02,3.989988e+15,5.615011e+24,4.278417e+36,7.276954e+36
4.673496e+02,3.989988e+15,5.671774e+24,4.278417e+36,7.276954e+36
4.698879e+02,3.989988e+15,5.729108e+24,4.278417e+36,7.276953e+36
4.724244e+02,3.989988e+15,5.787017e+24,4.278417e+36,7.276953e+36
4.749592e+02,3.989988e+15,5.845508e+24,4.278417e+36,7.276953e+36
4.774924e+02,3.989988e+15,5.904587e+24,4.278417e+36,7.276953e+36
4.800242e+02,3.989988e+15,5.964259e+24,4.278417e+36,7.276953e+36
