central_density,radius,mass
1.000000e+14,2.383615e+06,1.641300e+32
1.100000e+14,2.124585e+06,1.709807e+32
1.200000e+14,1.884004e+06,1.860593e+32
1.300000e+14,1.697507e+06,2.092623e+32
1.400000e+14,1.564326e+06,2.400331e+32
1.500000e+14,1.472897e+06,2.777737e+32
1.600000e+14,1.411524e+06,3.211298e+32
1.700000e+14,1.370689e+06,3.703992e+32
1.800000e+14,1.344442e+06,4.255458e+32
1.900000e+14,1.328461e+06,4.859969e+32
2.000000e+14,1.318619e+06,5.497963e+32
2.100000e+14,1.314443e+06,6.191985e+32
2.200000e+14,1.314455e+06,6.938218e+32
2.300000e+14,1.316290e+06,7.714787e+32
2.400000e+14,1.321206e+06,8.548897e+32
2.500000e+14,1.326570e+06,9.407207e+32
2.600000e+14,1.333125e+06,1.030434e+33
2.700000e+14,1.340489e+06,1.123677e+33
2.800000e+14,1.348040e+06,1.219563e+33
2.900000e+14,1.355599e+06,1.317792e+33
3.000000e+14,1.363316e+06,1.418554e+33
3.100000e+14,1.371330e+06,1.522009e+33
3.200000e+14,1.379214e+06,1.627290e+33
3.300000e+14,1.386638e+06,1.733620e+33
3.400000e+14,1.393569e+06,1.840710e+33
3.500000e+14,1.400671e+06,1.949607e+33
3.600000e+14,1.407184e+06,2.058645e+33
3.700000e+14,1.413529e+06,2.168416e+33
3.800000e+14,1.419654e+06,2.278597e+33
3.900000e+14,1.424957e+06,2.387737e+33
4.000000e+14,1.430202e+06,2.497160e+33
4.100000e+14,1.434996e+06,2.605841e+33
4.200000e+14,1.439337e+06,2.713558e+33
4.300000e+14,1.443234e+06,2.820120e+33
4.400000e+14,1.446998e+06,2.926001e+33
4.500000e+14,1.450166e+06,3.030015e+33
4.600000e+14,1.453047e+06,3.132656e+33
4.700000e+14,1.455369e+06,3.233163e+33
4.800000e+14,1.457680e+06,3.332602e+33
4.900000e+14,1.459575e+06,3.429938e+33
5.000000e+14,1.460954e+06,3.524810e+33
5.100000e+14,1.462006e+06,3.611472e+33
5.200000e+14,1.462820e+06,3.695116e+33
5.300000e+14,1.463264e+06,3.776214e+33
5.400000e+14,1.463363e+06,3.854883e+33
5.500000e+14,1.463336e+06,3.931408e+33
5.600000e+14,1.462891e+06,4.005265e+33
5.700000e+14,1.462348e+06,4.077224e+33
5.800000e+14,1.461510e+06,4.146543e+33
5.900000e+14,1.460488e+06,4.213589e+33
6.000000e+14,1.459302e+06,4.278665e+33
6.100000e+14,1.457855e+06,4.341072e+33
6.200000e+14,1.456341e+06,4.401561e+33
6.300000e+14,1.454526e+06,4.459753e+33
6.400000e+14,1.452731e+06,4.516084e+33
6.500000e+14,1.450723e+06,4.570094e+33
6.600000e+14,1.448535e+06,4.622227e+33
6.700000e+14,1.446284e+06,4.672028e+33
6.800000e+14,1.443808e+06,4.720048e+33
6.900000e+14,1.441303e+06,4.766248e+33
7.000000e+14,1.438773e+06,4.810694e+33
7.100000e+14,1.436020e+06,4.853001e+33
7.200000e+14,1.433170e+06,4.893150e+33
7.300000e+14,1.430363e+06,4.932648e+33
7.400000e+14,1.427383e+06,4.969554e+33
7.500000e+14,1.424349e+06,5.004955e+33
7.600000e+14,1.421268e+06,5.038943e+33
7.700000e+14,1.418150e+06,5.071608e+33
7.800000e+14,1.414937e+06,5.101984e+33
