radius,rest_mass_density,gravitational_mass,pressure,energy_density
1.000000e+02,3.989994e+15,2.784562e+24,3.665965e+36,9.427148e+36
1.030180e+02,3.989994e+15,2.788908e+24,3.665964e+36,9.427146e+36
1.223818e+02,3.989991e+15,2.833504e+24,3.665961e+36,9.427137e+36
1.346852e+02,3.989990e+15,2.865691e+24,3.665959e+36,9.427132e+36
1.456390e+02,3.989988e+15,2.898677e+24,3.665957e+36,9.427128e+36
1.552648e+02,3.989988e+15,2.931200e+24,3.665956e+36,9.427125e+36
1.639403e+02,3.989987e+15,2.963589e+24,3.665955e+36,9.427123e+36
1.718783e+02,3.989986e+15,2.995950e+24,3.665955e+36,9.427120e+36
1.792275e+02,3.989986e+15,3.028360e+24,3.665954e+36,9.427119e+36
1.860943e+02,3.989985e+15,3.060876e+24,3.665953e+36,9.427117e+36
1.925583e+02,3.989985e+15,3.093541e+24,3.665953e+36,9.427115e+36
1.986801e+02,3.989984e+15,3.126385e+24,3.665952e+36,9.427114e+36
2.045074e+02,3.989984e+15,3.159434e+24,3.665952e+36,9.427113e+36
2.100782e+02,3.989983e+15,3.192707e+24,3.665951e+36,9.427111e+36
2.154236e+02,3.989983e+15,3.226223e+24,3.665951e+36,9.427110e+36
2.205690e+02,3.989983e+15,3.259995e+24,3.665950e+36,9.427109e+36
2.255359e+02,3.989982e+15,3.294036e+24,3.665950e+36,9.427108e+36
2.303422e+02,3.989982e+15,3.328356e+24,3.665950e+36,9.427107e+36
2.350034e+02,3.989982e+15,3.362964e+24,3.665949e+36,9.427107e+36
2.395327e+02,3.989982e+15,3.397871e+24,3.665949e+36,9.427106e+36
2.439417e+02,3.989981e+15,3.433083e+24,3.665949e+36,9.427105e+36
2.482404e+02,3.989981e+15,3.468607e+24,3.665949e+36,9.427104e+36
2.524375e+02,3.989981e+15,3.504452e+24,3.665948e+36,9.427103e+36
2.565411e+02,3.989981e+15,3.540622e+24,3.665948e+36,9.427103e+36
2.605579e+02,3.989980e+15,3.577125e+24,3.665948e+36,9.427102e+36
2.644943e+02,3.989980e+15,3.613965e+24,3.665947e+36,9.427101e+36
2.683557e+02,3.989980e+15,3.651150e+24,3.665947e+36,9.427101e+36
2.721473e+02,3.989980e+15,3.688683e+24,3.665947e+36,9.427100e+36
2.758735e+02,3.989980e+15,3.726571e+24,3.665947e+36,9.427099e+36
2.795386e+02,3.989980e+15,3.764818e+24,3.665947e+36,9.427099e+36
2.831463e+02,3.989979e+15,3.803430e+24,3.665946e+36,9.427098e+36
2.867000e+02,3.989979e+15,3.842412e+24,3.665946e+36,9.427098e+36
2.902028e+02,3.989979e+15,3.881768e+24,3.665946e+36,9.427097e+36
2.936578e+02,3.989979e+15,3.921503e+24,3.665946e+36,9.427097e+36
2.970675e+02,3.989979e+15,3.961623e+24,3.665946e+36,9.427096e+36
3.004344e+02,3.989979e+15,4.002131e+24,3.665945e+36,9.427096e+36
3.037608e+02,3.989978e+15,4.043033e+24,3.665945e+36,9.427095e+36
3.070489e+02,3.989978e+15,4.084333e+24,3.665945e+36,9.427095e+36
3.103006e+02,3.989978e+15,4.126037e+24,3.665945e+36,9.427094e+36
3.135178e+02,3.989978e+15,4.168148e+24,3.665945e+36,9.427094e+36
3.167021e+02,3.989978e+15,4.210672e+24,3.665944e+36,9.427093e+36
3.198552e+02,3.989978e+15,4.253613e+24,3.665944e+36,9.427093e+36
3.229786e+02,3.989977e+15,4.296976e+24,3.665944e+36,9.427092e+36
3.260736e+02,3.989977e+15,4.340765e+24,3.665944e+36,9.427092e+36
3.291417e+02,3.989977e+15,4.384986e+24,3.665944e+36,9.427091e+36
3.321840e+02,3.989977e+15,4.429643e+24,3.665944e+36,9.427091e+36
3.352018e+02,3.989977e+15,4.474741e+24,3.665943e+36,9.427090e+36
3.381961e+02,3.989977e+15,4.520284e+24,3.665943e+36,9.427090e+36
3.411680e+02,3.989977e+15,4.566279e+24,3.665943e+36,9.427089e+36
3.441185e+02,3.989977e+15,4.612728e+24,3.665943e+36,9.427089e+36
3.470486e+02,3.989976e+15,4.659638e+24,3.665943e+36,9.427089e+36
3.499590e+02,3.989976e+15,4.707013e+24,3.665943e+36,9.427088e+36
3.528507e+02,3.989976e+15,4.754859e+24,3.665942e+36,9.427088e+36
3.557244e+02,3.989976e+15,4.803180e+24,3.665942e+36,9.427087e+36
3.585810e+02,3.989976e+15,4.851980e+24,3.665942e+36,9.427087e+36
3.614211e+02,3.989976e+15,4.901266e+24,3.665942e+36,9.427086e+36
3.642455e+02,3.989976e+15,4.951043e+24,3.665942e+36,9.427086e+36
3.670547e+02,3.989975e+15,5.001315e+24,3.665942e+36,9.427086e+36
3.698495e+02,3.989975e+15,5.052088e+24,3.665942e+36,9.427085e+36
3.726305e+02,3.989975e+15,5.103366e+24,3.665941e+36,9.427085e+36
3.753981e+02,3.989975e+15,5.155156e+24,3.665941e+36,9.427084e+36
3.781530e+02,3.989975e+15,5.207463e+24,3.665941e+36,9.427084e+36
3.808957e+02,3.989975e+15,5.260291e+24,3.665941e+36,9.427084e+36
3.836267e+02,3.989975e+15,5.313647e+24,3.665941e+36,9.427083e+36
3.863465e+02,3.989975e+15,5.367535e+24,3.665941e+36,9.427083e+36
3.890555e+02,3.989975e+15,5.421962e+24,3.665940e+36,9.427082e+36
3.917542e+02,3.989974e+15,5.476932e+24,3.665940e+36,9.427082e+36
3.944431e+02,3.989974e+15,5.532452e+24,3.665940e+36,9.427082e+36
3.971225e+02,3.989974e+15,5.588526e+24,3.665940e+36,9.427081e+36
3.997929e+02,3.989974e+15,5.645162e+24,3.665940e+36,9.427081e+36
4.024546e+02,3.989974e+15,5.702364e+24,3.665940e+36,9.427081e+36
4.051079e+02,3.989974e+15,5.760138e+24,3.665940e+36,9.427080e+36
4.077534e+02,3.989974e+15,5.818491e+24,3.665939e+36,9.427080e+36
4.103912e+02,3.989974e+15,5.877427e+24,3.665939e+36,9.427079e+36
4.130218e+02,3.989973e+15,5.936954e+24,3.665939e+36,9.427079e+36
4.156454e+02,3.989973e+15,5.997077e+24,3.665939e+36,9.427079e+36
4.182624e+02,3.989973e+15,6.057802e+24,3.665939e+36,9.427078e+36
4.208731e+02,3.989973e+15,6.119135e+24,3.665939e+36,9.427078e+36
4.234777e+02,3.989973e+15,6.181083e+24,3.665939e+36,9.427077e+36
4.260765e+02,3.989973e+15,6.243652e+24,3.665938e+36,9.427077e+36
4.286699e+02,3.989973e+15,6.306847e+24,3.665938e+36,9.427077e+36
4.312581e+02,3.989973e+15,6.370677e+24,3.665938e+36,9.427076e+36
4.338412e+02,3.989973e+15,6.435146e+24,3.665938e+36,9.427076e+36
4.364197e+02,3.989972e+15,6.500262e+24,3.665938e+36,9.427076e+36
4.389937e+02,3.989972e+15,6.566030e+24,3.665938e+36,9.427075e+36
4.415634e+02,3.989972e+15,6.632459e+24,3.665938e+36,9.427075e+36
4.441292e+02,3.989972e+15,6.699553e+24,3.665938e+36,9.427074e+36
4.466911e+02,3.989972e+15,6.767321e+24,3.665937e+36,9.427074e+36
4.492495e+02,3.989972e+15,6.835769e+24,3.665937e+36,9.427074e+36
4.518044e+02,3.989972e+15,6.904904e+24,3.665937e+36,9.427073e+36
4.543563e+02,3.989972e+15,6.974732e+24,3.665937e+36,9.427073e+36
4.569051e+02,3.989971e+15,7.045262e+24,3.665937e+36,9.427073e+36
4.594512e+02,3.989971e+15,7.116499e+24,3.665937e+36,9.427072e+36
4.619947e+02,3.989971e+15,7.188451e+24,3.665937e+36,9.427072e+36
4.645358e+02,3.989971e+15,7.261126e+24,3.665936e+36,9.427071e+36
4.670747e+02,3.989971e+15,7.334531e+24,3.665936e+36,9.427071e+36
4.696115e+02,3.989971e+15,7.408673e+24,3.665936e+36,9.427071e+36
4.721464e+02,3.989971e+15,7.483559e+24,3.665936e+36,9.427070e+36
4.746796e+02,3.989971e+15,7.559197e+24,3.665936e+36,9.427070e+36
4.772113e+02,3.989971e+15,7.635595e+24,3.665936e+36,9.427069e+36
4.797416e+02,3.989970e+15,7.712761e+24,3.665936e+36,9.427069e+36
4.822706e+02,3.989970e+15,7.790701e+24,3.665935e+36,9.427069e+36
4.847985e+02,3.989970e+15,7.869425e+24,3.665935e+36,9.427068e+36
4.873255e+02,3.989970e+15,7.948939e+24,3.665935e+36,9.427068e+36
4.898517e+02,3.989970e+15,8.029253e+24,3.665935e+36,9.427068e+36
4.923773e+02,3.989970e+15,8.110373e+24,3.665935e+36,9.427067e+36
4.949023e+02,3.989970e+15,8.192309e+24,3.665935e+36,9.427067e+36
4.974270e+02,3.989970e+15,8.275067e+24,3.665935e+36,9.427066e+36
4.999514e+02,3.989969e+15,8.358658e+24,3.665934e+36,9.427066e+36
5.024757e+02,3.989969e+15,8.443089e+24,3.665934e+36,9.427066e+36
5.050000e+02,3.989969e+15,8.528368e+24,3.665934e+36,9.427065e+36
5.075244e+02,3.989969e+15,8.614504e+24,3.665934e+36,9.427065e+36
5.100491e+02,3.989969e+15,8.701506e+24,3.665934e+36,9.427064e+36
5.125741e+02,3.989969e+15,8.789383e+24,3.665934e+36,9.427064e+36
5.150997e+02,3.989969e+15,8.878143e+24,3.665934e+36,9.427064e+36
5.176258e+02,3.989969e+15,8.967795e+24,3.665933e+36,9.427063e+36
5.201527e+02,3.989969e+15,9.058349e+24,3.665933e+36,9.427063e+36
5.226804e+02,3.989968e+15,9.149813e+24,3.665933e+36,9.427062e+36
5.252091e+02,3.989968e+15,9.242196e+24,3.665933e+36,9.427062e+36
5.277388e+02,3.989968e+15,9.335509e+24,3.665933e+36,9.427062e+36
5.302696e+02,3.989968e+15,9.429760e+24,3.665933e+36,9.427061e+36
5.328017e+02,3.989968e+15,9.524958e+24,3.665932e+36,9.427061e+36
5.353352e+02,3.989968e+15,9.621114e+24,3.665932e+36,9.427060e+36
5.378702e+02,3.989968e+15,9.718236e+24,3.665932e+36,9.427060e+36
5.404067e+02,3.989968e+15,9.816335e+24,3.665932e+36,9.427060e+36
5.429448e+02,3.989967e+15,9.915421e+24,3.665932e+36,9.427059e+36
5.454847e+02,3.989967e+15,1.001550e+25,3.665932e+36,9.427059e+36
5.480265e+02,3.989967e+15,1.011659e+25,3.665932e+36,9.427058e+36
5.505702e+02,3.989967e+15,1.021870e+25,3.665931e+36,9.427058e+36
5.531159e+02,3.989967e+15,1.032183e+25,3.665931e+36,9.427058e+36
5.556638e+02,3.989967e+15,1.042600e+25,3.665931e+36,9.427057e+36
5.582139e+02,3.989967e+15,1.053122e+25,3.665931e+36,9.427057e+36
5.607662e+02,3.989967e+15,1.063749e+25,3.665931e+36,9.427056e+36
5.633210e+02,3.989966e+15,1.074484e+25,3.665931e+36,9.427056e+36
5.658782e+02,3.989966e+15,1.085326e+25,3.665930e+36,9.427056e+36
5.684380e+02,3.989966e+15,1.096278e+25,3.665930e+36,9.427055e+36
5.710004e+02,3.989966e+15,1.107339e+25,3.665930e+36,9.427055e+36
5.735655e+02,3.989966e+15,1.118512e+25,3.665930e+36,9.427054e+36
5.761335e+02,3.989966e+15,1.129798e+25,3.665930e+36,9.427054e+36
5.787043e+02,3.989966e+15,1.141196e+25,3.665930e+36,9.427053e+36
5.812780e+02,3.989966e+15,1.152710e+25,3.665930e+36,9.427053e+36
5.838548e+02,3.989965e+15,1.164339e+25,3.665929e+36,9.427053e+36
5.864347e+02,3.989965e+15,1.176086e+25,3.665929e+36,9.427052e+36
5.890178e+02,3.989965e+15,1.187950e+25,3.665929e+36,9.427052e+36
5.916041e+02,3.989965e+15,1.199934e+25,3.665929e+36,9.427051e+36
5.941938e+02,3.989965e+15,1.212039e+25,3.665929e+36,9.427051e+36
5.967869e+02,3.989965e+15,1.224265e+25,3.665929e+36,9.427050e+36
5.993835e+02,3.989965e+15,1.236614e+25,3.665928e+36,9.427050e+36
6.019836e+02,3.989964e+15,1.249088e+25,3.665928e+36,9.427049e+36
6.045873e+02,3.989964e+15,1.261687e+25,3.665928e+36,9.427049e+36
6.071948e+02,3.989964e+15,1.274412e+25,3.665928e+36,9.427049e+36
6.098060e+02,3.989964e+15,1.287266e+25,3.665928e+36,9.427048e+36
6.124210e+02,3.989964e+15,1.300249e+25,3.665928e+36,9.427048e+36
6.150399e+02,3.989964e+15,1.313363e+25,3.665927e+36,9.427047e+36
6.176628e+02,3.989964e+15,1.326609e+25,3.665927e+36,9.427047e+36
6.202897e+02,3.989963e+15,1.339988e+25,3.665927e+36,9.427046e+36
6.229207e+02,3.989963e+15,1.353501e+25,3.665927e+36,9.427046e+36
6.255559e+02,3.989963e+15,1.367151e+25,3.665927e+36,9.427045e+36
6.281953e+02,3.989963e+15,1.380938e+25,3.665927e+36,9.427045e+36
6.308390e+02,3.989963e+15,1.394864e+25,3.665926e+36,9.427044e+36
6.334870e+02,3.989963e+15,1.408930e+25,3.665926e+36,9.427044e+36
6.361395e+02,3.989963e+15,1.423137e+25,3.665926e+36,9.427044e+36
6.387964e+02,3.989962e+15,1.437487e+25,3.665926e+36,9.427043e+36
6.414579e+02,3.989962e+15,1.451982e+25,3.665926e+36,9.427043e+36
6.441240e+02,3.989962e+15,1.466623e+25,3.665926e+36,9.427042e+36
6.467947e+02,3.989962e+15,1.481411e+25,3.665925e+36,9.427042e+36
6.494702e+02,3.989962e+15,1.496347e+25,3.665925e+36,9.427041e+36
6.521504e+02,3.989962e+15,1.511434e+25,3.665925e+36,9.427041e+36
6.548355e+02,3.989962e+15,1.526673e+25,3.665925e+36,9.427040e+36
6.575255e+02,3.989961e+15,1.542066e+25,3.665925e+36,9.427040e+36
6.602205e+02,3.989961e+15,1.557613e+25,3.665924e+36,9.427039e+36
6.629204e+02,3.989961e+15,1.573316e+25,3.665924e+36,9.427039e+36
6.656255e+02,3.989961e+15,1.589178e+25,3.665924e+36,9.427038e+36
6.683357e+02,3.989961e+15,1.605199e+25,3.665924e+36,9.427038e+36
6.710510e+02,3.989961e+15,1.621382e+25,3.665924e+36,9.427037e+36
6.737717e+02,3.989961e+15,1.637727e+25,3.665924e+36,9.427037e+36
6.764976e+02,3.989960e+15,1.654237e+25,3.665923e+36,9.427036e+36
6.792289e+02,3.989960e+15,1.670913e+25,3.665923e+36,9.427036e+36
6.819655e+02,3.989960e+15,1.687757e+25,3.665923e+36,9.427035e+36
6.847077e+02,3.989960e+15,1.704771e+25,3.665923e+36,9.427035e+36
6.874554e+02,3.989960e+15,1.721955e+25,3.665923e+36,9.427034e+36
6.902087e+02,3.989960e+15,1.739313e+25,3.665922e+36,9.427034e+36
6.929676e+02,3.989959e+15,1.756845e+25,3.665922e+36,9.427033e+36
6.957321e+02,3.989959e+15,1.774554e+25,3.665922e+36,9.427033e+36
6.985025e+02,3.989959e+15,1.792441e+25,3.665922e+36,9.427032e+36
7.012786e+02,3.989959e+15,1.810508e+25,3.665922e+36,9.427032e+36
7.040605e+02,3.989959e+15,1.828757e+25,3.665921e+36,9.427031e+36
7.068484e+02,3.989959e+15,1.847190e+25,3.665921e+36,9.427030e+36
7.096422e+02,3.989959e+15,1.865808e+25,3.665921e+36,9.427030e+36
7.124420e+02,3.989958e+15,1.884613e+25,3.665921e+36,9.427029e+36
7.152479e+02,3.989958e+15,1.903608e+25,3.665921e+36,9.427029e+36
7.180599e+02,3.989958e+15,1.922794e+25,3.665920e+36,9.427028e+36
7.208780e+02,3.989958e+15,1.942173e+25,3.665920e+36,9.427028e+36
7.237023e+02,3.989958e+15,1.961747e+25,3.665920e+36,9.427027e+36
7.265329e+02,3.989958e+15,1.981518e+25,3.665920e+36,9.427027e+36
7.293698e+02,3.989957e+15,2.001488e+25,3.665920e+36,9.427026e+36
7.322131e+02,3.989957e+15,2.021659e+25,3.665919e+36,9.427026e+36
7.350628e+02,3.989957e+15,2.042033e+25,3.665919e+36,9.427025e+36
7.379190e+02,3.989957e+15,2.062613e+25,3.665919e+36,9.427024e+36
7.407816e+02,3.989957e+15,2.083399e+25,3.665919e+36,9.427024e+36
7.436508e+02,3.989956e+15,2.104395e+25,3.665919e+36,9.427023e+36
7.465267e+02,3.989956e+15,2.125601e+25,3.665918e+36,9.427023e+36
7.494092e+02,3.989956e+15,2.147022e+25,3.665918e+36,9.427022e+36
7.522984e+02,3.989956e+15,2.168658e+25,3.665918e+36,9.427022e+36
7.551944e+02,3.989956e+15,2.190511e+25,3.665918e+36,9.427021e+36
7.580971e+02,3.989956e+15,2.212585e+25,3.665917e+36,9.427020e+36
7.610068e+02,3.989955e+15,2.234881e+25,3.665917e+36,9.427020e+36
7.639233e+02,3.989955e+15,2.257401e+25,3.665917e+36,9.427019e+36
7.668468e+02,3.989955e+15,2.280148e+25,3.665917e+36,9.427019e+36
7.697773e+02,3.989955e+15,2.303124e+25,3.665917e+36,9.427018e+36
7.727149e+02,3.989955e+15,2.326332e+25,3.665916e+36,9.427017e+36
7.756595e+02,3.989955e+15,2.349772e+25,3.665916e+36,9.427017e+36
7.786113e+02,3.989954e+15,2.373449e+25,3.665916e+36,9.427016e+36
7.815703e+02,3.989954e+15,2.397364e+25,3.665916e+36,9.427016e+36
7.845365e+02,3.989954e+15,2.421520e+25,3.665915e+36,9.427015e+36
7.875100e+02,3.989954e+15,2.445919e+25,3.665915e+36,9.427014e+36
7.904909e+02,3.989954e+15,2.470564e+25,3.665915e+36,9.427014e+36
7.934791e+02,3.989953e+15,2.495456e+25,3.665915e+36,9.427013e+36
7.964748e+02,3.989953e+15,2.520600e+25,3.665915e+36,9.427012e+36
7.994780e+02,3.989953e+15,2.545996e+25,3.665914e+36,9.427012e+36
8.024887e+02,3.989953e+15,2.571648e+25,3.665914e+36,9.427011e+36
8.055069e+02,3.989953e+15,2.597558e+25,3.665914e+36,9.427011e+36
8.085328e+02,3.989952e+15,2.623729e+25,3.665914e+36,9.427010e+36
8.115663e+02,3.989952e+15,2.650163e+25,3.665913e+36,9.427009e+36
8.146076e+02,3.989952e+15,2.676864e+25,3.665913e+36,9.427009e+36
8.176566e+02,3.989952e+15,2.703833e+25,3.665913e+36,9.427008e+36
8.207134e+02,3.989952e+15,2.731074e+25,3.665913e+36,9.427007e+36
8.237781e+02,3.989951e+15,2.758589e+25,3.665912e+36,9.427007e+36
8.268507e+02,3.989951e+15,2.786381e+25,3.665912e+36,9.427006e+36
8.299312e+02,3.989951e+15,2.814453e+25,3.665912e+36,9.427005e+36
8.330197e+02,3.989951e+15,2.842807e+25,3.665912e+36,9.427005e+36
8.361163e+02,3.989951e+15,2.871446e+25,3.665911e+36,9.427004e+36
8.392209e+02,3.989950e+15,2.900374e+25,3.665911e+36,9.427003e+36
8.423337e+02,3.989950e+15,2.929594e+25,3.665911e+36,9.427003e+36
8.454546e+02,3.989950e+15,2.959107e+25,3.665911e+36,9.427002e+36
8.485838e+02,3.989950e+15,2.988917e+25,3.665910e+36,9.427001e+36
8.517212e+02,3.989950e+15,3.019028e+25,3.665910e+36,9.427000e+36
8.548670e+02,3.989949e+15,3.049441e+25,3.665910e+36,9.427000e+36
8.580211e+02,3.989949e+15,3.080161e+25,3.665910e+36,9.426999e+36
8.611836e+02,3.989949e+15,3.111190e+25,3.665909e+36,9.426998e+36
8.643546e+02,3.989949e+15,3.142531e+25,3.665909e+36,9.426998e+36
8.675340e+02,3.989948e+15,3.174188e+25,3.665909e+36,9.426997e+36
8.707220e+02,3.989948e+15,3.206164e+25,3.665908e+36,9.426996e+36
8.739186e+02,3.989948e+15,3.238461e+25,3.665908e+36,9.426995e+36
8.771239e+02,3.989948e+15,3.271084e+25,3.665908e+36,9.426995e+36
8.803378e+02,3.989948e+15,3.304034e+25,3.665908e+36,9.426994e+36
8.835604e+02,3.989947e+15,3.337317e+25,3.665907e+36,9.426993e+36
8.867919e+02,3.989947e+15,3.370935e+25,3.665907e+36,9.426993e+36
8.900321e+02,3.989947e+15,3.404891e+25,3.665907e+36,9.426992e+36
8.932812e+02,3.989947e+15,3.439188e+25,3.665907e+36,9.426991e+36
8.965392e+02,3.989946e+15,3.473832e+25,3.665906e+36,9.426990e+36
8.998062e+02,3.989946e+15,3.508823e+25,3.665906e+36,9.426989e+36
9.030821e+02,3.989946e+15,3.544167e+25,3.665906e+36,9.426989e+36
9.063671e+02,3.989946e+15,3.579867e+25,3.665905e+36,9.426988e+36
9.096613e+02,3.989945e+15,3.615927e+25,3.665905e+36,9.426987e+36
9.129645e+02,3.989945e+15,3.652349e+25,3.665905e+36,9.426986e+36
9.162769e+02,3.989945e+15,3.689138e+25,3.665905e+36,9.426986e+36
9.195986e+02,3.989945e+15,3.726297e+25,3.665904e+36,9.426985e+36
9.229295e+02,3.989945e+15,3.763830e+25,3.665904e+36,9.426984e+36
9.262697e+02,3.989944e+15,3.801741e+25,3.665904e+36,9.426983e+36
9.296193e+02,3.989944e+15,3.840034e+25,3.665903e+36,9.426982e+36
9.329784e+02,3.989944e+15,3.878712e+25,3.665903e+36,9.426982e+36
9.363468e+02,3.989944e+15,3.917780e+25,3.665903e+36,9.426981e+36
9.397248e+02,3.989943e+15,3.957241e+25,3.665902e+36,9.426980e+36
9.431123e+02,3.989943e+15,3.997099e+25,3.665902e+36,9.426979e+36
9.465095e+02,3.989943e+15,4.037358e+25,3.665902e+36,9.426978e+36
9.499162e+02,3.989943e+15,4.078023e+25,3.665902e+36,9.426977e+36
9.533327e+02,3.989942e+15,4.119097e+25,3.665901e+36,9.426977e+36
9.567588e+02,3.989942e+15,4.160584e+25,3.665901e+36,9.426976e+36
9.601948e+02,3.989942e+15,4.202489e+25,3.665901e+36,9.426975e+36
9.636406e+02,3.989941e+15,4.244816e+25,3.665900e+36,9.426974e+36
9.670962e+02,3.989941e+15,4.287569e+25,3.665900e+36,9.426973e+36
9.705618e+02,3.989941e+15,4.330753e+25,3.665900e+36,9.426972e+36
9.740373e+02,3.989941e+15,4.374371e+25,3.665899e+36,9.426971e+36
9.775228e+02,3.989940e+15,4.418428e+25,3.665899e+36,9.426971e+36
9.810184e+02,3.989940e+15,4.462929e+25,3.665899e+36,9.426970e+36
9.845241e+02,3.989940e+15,4.507878e+25,3.665898e+36,9.426969e+36
9.880399e+02,3.989940e+15,4.553279e+25,3.665898e+36,9.426968e+36
9.915659e+02,3.989939e+15,4.599137e+25,3.665898e+36,9.426967e+36
9.951021e+02,3.989939e+15,4.645457e+25,3.665897e+36,9.426966e+36
9.986487e+02,3.989939e+15,4.692243e+25,3.665897e+36,9.426965e+36
1.002206e+03,3.989939e+15,4.739500e+25,3.665897e+36,9.426964e+36
1.005773e+03,3.989938e+15,4.787233e+25,3.665896e+36,9.426963e+36
1.009350e+03,3.989938e+15,4.835447e+25,3.665896e+36,9.426962e+36
1.012939e+03,3.989938e+15,4.884145e+25,3.665896e+36,9.426962e+36
1.016537e+03,3.989937e+15,4.933334e+25,3.665895e+36,9.426961e+36
1.020146e+03,3.989937e+15,4.983018e+25,3.665895e+36,9.426960e+36
1.023766e+03,3.989937e+15,5.033203e+25,3.665895e+36,9.426959e+36
1.027397e+03,3.989937e+15,5.083892e+25,3.665894e+36,9.426958e+36
